"dane_code","first_round_2014","first_round_2018","first_round_2022","second_round_2014","second_round_2018","second_round_2022","flip_1st_14_18","flip_1st_18_22","flip_2nd_14_18","flip_2nd_18_22"
47551,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
47555,"center-right","left","left","center-right","right","left","flip to left","stable left","stable right","flip to left"
47570,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
47605,"center-right","center-right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
47660,"center-right","right","right","center-right","right","left","stable right","stable right","stable right","flip to left"
47675,"center-right","right","right","center-right","right","center-right","stable right","stable right","stable right","stable right"
47692,"center-right","right","right","center-right","right","left","stable right","stable right","stable right","flip to left"
47703,"center-right","center-right","right","center-right","right","center-right","stable right","stable right","stable right","stable right"
47707,"center-right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
47720,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
47745,"center-right","left","left","center-right","right","left","flip to left","stable left","stable right","flip to left"
47798,"center-right","center-right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
47960,"center-right","right","right","center-right","right","left","stable right","stable right","stable right","flip to left"
47980,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
50001,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
50006,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
50110,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50124,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50150,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50223,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50226,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50245,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50251,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
50270,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
50287,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50313,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50318,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50325,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50330,"right","left","center-right","center-right","right","center-right","flip to left","flip to right","stable right","stable right"
50350,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
50370,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
50400,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
50450,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
50568,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50573,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50577,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50590,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50606,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50680,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50683,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
